Initial, Result, Steps
31656, 1038939, 3
31685, 885478, 3
31703, 372163, 3
31716, 1054449, 3
31723, 416603, 3
31734, 559845, 3
31736, 999889, 3
31771, 945538, 4
31773, 427713, 3
31775, 867757, 3
31776, 1087779, 3
31831, 885478, 4
31839, 382173, 2
31865, 840037, 3
31871, 953348, 4
31879, 426613, 2
31896, 1008810, 2
31919, 362153, 2
31921, 840037, 4
31949, 395483, 2
31951, 963358, 4
31953, 382173, 3
31957, 186571, 2
31965, 844437, 3
31969, 417703, 2
31971, 952248, 4
31973, 426613, 3
32069, 418913, 2
32095, 904508, 3
32295, 903408, 3
32338, 282172, 2
32369, 425513, 2
32379, 337623, 2
32391, 1054449, 4
32419, 372163, 2
32438, 284372, 2
32459, 416603, 2
32469, 427713, 2
32516, 32516, 0
32531, 904508, 4
32541, 948948, 4
32555, 836737, 3
32561, 937838, 4
32563, 418913, 3
32616, 1072269, 3
32631, 903408, 4
32641, 947848, 4
32646, 1038939, 3
32675, 885478, 3
32706, 1054449, 3
32713, 416603, 3
32724, 559845, 3
32726, 999889, 3
32761, 945538, 4
32763, 427713, 3
32765, 867757, 3
32766, 1087779, 3
32791, 32791, 0
32795, 914518, 3
32821, 885478, 4
32829, 382173, 2
32855, 840037, 3
32861, 953348, 4
32869, 426613, 2
32886, 1008810, 2
32896, 1019920, 2
32909, 362153, 2
32911, 840037, 4
32939, 395483, 2
32941, 963358, 4
32943, 382173, 3
32947, 186571, 2
32955, 844437, 3
32959, 417703, 2
32961, 952248, 4
32963, 426613, 3
32999, 362153, 2
33059, 418913, 2
33085, 904508, 3
33095, 926728, 3
33195, 931128, 3
33285, 903408, 3
33328, 282172, 2
33359, 425513, 2
33369, 337623, 2
33381, 1054449, 4
33390, 559845, 4
33391, 999889, 4
33395, 930028, 3
33409, 372163, 2
33428, 284372, 2
33449, 416603, 2
33459, 427713, 2
33499, 372163, 2
33506, 33506, 0
33521, 904508, 4
33531, 948948, 4
33545, 836737, 3
33551, 937838, 4
33553, 418913, 3
33594, 33594, 0
33595, 937838, 3
33606, 1072269, 3
33621, 903408, 4
33631, 947848, 4
33636, 1038939, 3
33665, 885478, 3
33692, 282172, 3
33703, 416603, 3
33714, 559845, 3
33716, 999889, 3
33751, 945538, 4
33753, 427713, 3
33755, 867757, 3
33756, 1087779, 3
33781, 33781, 0
33785, 914518, 3
33811, 885478, 4
33819, 382173, 2
33845, 840037, 3
33851, 953348, 4
33859, 426613, 2
33876, 1008810, 2
33886, 1019920, 2
33901, 840037, 4
33929, 395483, 2
33931, 963358, 4
33937, 186571, 2
33945, 844437, 3
33949, 417703, 2
33951, 952248, 4
33953, 426613, 3
33989, 362153, 2
33995, 945538, 3
34049, 418913, 2
34075, 904508, 3
34085, 926728, 3
34094, 728926, 3
34095, 948948, 3
34185, 931128, 3
34195, 953348, 3
34275, 903408, 3
34295, 947848, 3
34318, 282172, 2
34349, 425513, 2
34359, 337623, 2
34371, 1054449, 4
34380, 559845, 4
34381, 999889, 4
34385, 930028, 3
34395, 952248, 3
34418, 284372, 2
34439, 416603, 2
34449, 427713, 2
34489, 372163, 2
34511, 904508, 4
